"NUTS3_ID","nuts3","age","sex","pop"
"DEB3B","Alzey-Worms County","[40-45)","male",4038
"DEB3B","Alzey-Worms County","[45-50)","male",3906
"DEB3B","Alzey-Worms County","[50-55)","male",5120
"DEB3B","Alzey-Worms County","[55-60)","male",5733
"DEB3B","Alzey-Worms County","[60-65)","male",5323
"DEB3B","Alzey-Worms County","[65-75)","male",7747
"DEB3B","Alzey-Worms County","[75+)","male",5150
"DE231","City of Amberg","[00-03)","female",568
"DE231","City of Amberg","[03-06)","female",565
"DE231","City of Amberg","[06-10)","female",709
"DE231","City of Amberg","[10-15)","female",780
"DE231","City of Amberg","[15-18)","female",524
"DE231","City of Amberg","[18-20)","female",370
"DE231","City of Amberg","[20-25)","female",1108
"DE231","City of Amberg","[25-30)","female",1211
"DE231","City of Amberg","[30-35)","female",1258
"DE231","City of Amberg","[35-40)","female",1184
"DE231","City of Amberg","[40-45)","female",1136
"DE231","City of Amberg","[45-50)","female",1128
"DE231","City of Amberg","[50-55)","female",1529
"DE231","City of Amberg","[55-60)","female",1745
"DE231","City of Amberg","[60-65)","female",1601
"DE231","City of Amberg","[65-75)","female",2723
"DE231","City of Amberg","[75+)","female",3130
"DE231","City of Amberg","[00-03)","male",558
"DE231","City of Amberg","[03-06)","male",568
"DE231","City of Amberg","[06-10)","male",640
"DE231","City of Amberg","[10-15)","male",940
"DE231","City of Amberg","[15-18)","male",560
"DE231","City of Amberg","[18-20)","male",395
"DE231","City of Amberg","[20-25)","male",1247
"DE231","City of Amberg","[25-30)","male",1446
"DE231","City of Amberg","[30-35)","male",1569
"DE231","City of Amberg","[35-40)","male",1448
"DE231","City of Amberg","[40-45)","male",1279
"DE231","City of Amberg","[45-50)","male",1136
"DE231","City of Amberg","[50-55)","male",1502
"DE231","City of Amberg","[55-60)","male",1735
"DE231","City of Amberg","[60-65)","male",1497
"DE231","City of Amberg","[65-75)","male",2285
"DE231","City of Amberg","[75+)","male",1920
"DE234","Amberg-Sulzbach County","[00-03)","female",1505
"DE234","Amberg-Sulzbach County","[03-06)","female",1438
"DE234","Amberg-Sulzbach County","[06-10)","female",1758
"DE234","Amberg-Sulzbach County","[10-15)","female",2169
"DE234","Amberg-Sulzbach County","[15-18)","female",1316
"DE234","Amberg-Sulzbach County","[18-20)","female",946
"DE234","Amberg-Sulzbach County","[20-25)","female",2519
"DE234","Amberg-Sulzbach County","[25-30)","female",2620
"DE234","Amberg-Sulzbach County","[30-35)","female",2993
"DE234","Amberg-Sulzbach County","[35-40)","female",2966
"DE234","Amberg-Sulzbach County","[40-45)","female",2949
"DE234","Amberg-Sulzbach County","[45-50)","female",2987
"DE234","Amberg-Sulzbach County","[50-55)","female",4025
"DE234","Amberg-Sulzbach County","[55-60)","female",4707
"DE234","Amberg-Sulzbach County","[60-65)","female",4245
"DE234","Amberg-Sulzbach County","[65-75)","female",5999
"DE234","Amberg-Sulzbach County","[75+)","female",6340
"DE234","Amberg-Sulzbach County","[00-03)","male",1701
"DE234","Amberg-Sulzbach County","[03-06)","male",1525
"DE234","Amberg-Sulzbach County","[06-10)","male",1740
"DE234","Amberg-Sulzbach County","[10-15)","male",2301
"DE234","Amberg-Sulzbach County","[15-18)","male",1449
"DE234","Amberg-Sulzbach County","[18-20)","male",989
"DE234","Amberg-Sulzbach County","[20-25)","male",2920
"DE234","Amberg-Sulzbach County","[25-30)","male",2904
"DE234","Amberg-Sulzbach County","[30-35)","male",3262
"DE234","Amberg-Sulzbach County","[35-40)","male",3171
"DE234","Amberg-Sulzbach County","[40-45)","male",3054
"DE234","Amberg-Sulzbach County","[45-50)","male",3034
"DE234","Amberg-Sulzbach County","[50-55)","male",4120
"DE234","Amberg-Sulzbach County","[55-60)","male",4797
"DE234","Amberg-Sulzbach County","[60-65)","male",4437
"DE234","Amberg-Sulzbach County","[65-75)","male",5906
"DE234","Amberg-Sulzbach County","[75+)","male",4485
"DE946","Ammerland County","[00-03)","female",1797
"DE946","Ammerland County","[03-06)","female",1840
"DE946","Ammerland County","[06-10)","female",2304
"DE946","Ammerland County","[10-15)","female",2895
"DE946","Ammerland County","[15-18)","female",1877
"DE946","Ammerland County","[18-20)","female",1278
"DE946","Ammerland County","[20-25)","female",2856
"DE946","Ammerland County","[25-30)","female",3008
"DE946","Ammerland County","[30-35)","female",3754
"DE946","Ammerland County","[35-40)","female",3706
"DE946","Ammerland County","[40-45)","female",3648
"DE946","Ammerland County","[45-50)","female",3796
"DE946","Ammerland County","[50-55)","female",5180
"DE946","Ammerland County","[55-60)","female",5510
"DE946","Ammerland County","[60-65)","female",4794
"DE946","Ammerland County","[65-75)","female",7918
"DE946","Ammerland County","[75+)","female",8608
"DE946","Ammerland County","[00-03)","male",1777
"DE946","Ammerland County","[03-06)","male",1853
"DE946","Ammerland County","[06-10)","male",2494
"DE946","Ammerland County","[10-15)","male",3030
"DE946","Ammerland County","[15-18)","male",1899
"DE946","Ammerland County","[18-20)","male",1408
"DE946","Ammerland County","[20-25)","male",3364
"DE946","Ammerland County","[25-30)","male",3236
"DE946","Ammerland County","[30-35)","male",3563
