GENESIS-Tabelle: 12411-0018
Population: Administrative districts, reference date, sex,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
age groups;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Current updating of population figures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Population (number);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female
;;;under 3 years;3 to under 6 years;6 to under 10 years;10 to under 15 years;15 to under 18 years;18 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 75 years;75 years and over;under 3 years;3 to under 6 years;6 to under 10 years;10 to under 15 years;15 to under 18 years;18 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 75 years;75 years and over
2021-12-31;09671;Aschaffenburg, Landkreis;2612;2609;3251;3912;2461;1667;4498;4717;5355;5466;5219;4880;7021;8033;6989;9911;8189;2478;2460;2982;3790;2320;1567;3839;4323;5135;5315;5293;5281;7113;8139;6898;10420;10822
2021-12-31;09672;Bad Kissingen, Landkreis;1463;1401;1754;2172;1382;966;2577;2749;3090;2986;2901;2905;3912;4616;4223;6571;5319;1325;1337;1722;2114;1337;952;2345;2470;2866;2836;2813;2975;3909;4521;4415;6901;7629
2021-12-31;09673;Rhön-Grabfeld, Landkreis;1122;1147;1430;1806;1164;787;2156;2193;2409;2380;2251;2216;2988;3600;3319;4980;3538;1075;1089;1417;1696;1102;782;1792;2055;2233;2330;2197;2239;3106;3535;3251;4950;5041
2021-12-31;09674;Haßberge, Landkreis;1211;1279;1599;1860;1236;844;2275;2344;2541;2650;2515;2450;3261;3849;3582;5220;3571;1172;1211;1506;1793;1078;760;2039;2055;2440;2552;2419;2421;3207;3739;3642;5082;4881
2021-12-31;09675;Kitzingen, Landkreis;1399;1437;1822;1990;1251;949;2580;2806;3102;3036;2867;2683;3659;4120;3526;5246;3813;1331;1290;1623;1957;1231;878;2164;2339;2864;2806;2837;2767;3512;3906;3594;5238;5357
2021-12-31;09676;Miltenberg, Landkreis;1791;1878;2421;2935;1862;1285;3584;3661;3907;3780;3830;3881;5217;5889;4910;7318;5902;1836;1777;2302;2777;1731;1190;3016;3247;3665;3727;3931;4022;5274;5579;5042;7652;7963
2021-12-31;09677;Main-Spessart, Landkreis;1715;1813;2176;2637;1694;1220;3253;3417;3852;3856;3622;3649;4931;5705;5374;7949;6010;1678;1737;2104;2538;1656;1113;2765;3039;3466;3466;3588;3675;5023;5683;5195;8057;8449
2021-12-31;09678;Schweinfurt, Landkreis;1752;1805;2254;2680;1645;1152;3052;3345;3867;3693;3434;3251;4324;5250;4677;6810;5354;1695;1635;2061;2462;1478;1041;2685;2991;3453;3463;3344;3162;4396;5094;4644;7024;7161
2021-12-31;09679;Würzburg, Landkreis;2514;2544;3198;3704;2333;1629;4343;4405;5005;5291;5086;4871;6051;6826;6385;9603;7445;2424;2455;2999;3587;2153;1451;3723;4077;4911;5188;5082;4768;6194;7046;6599;10198;9446
2021-12-31;09761;Augsburg, kreisfreie Stadt;4418;4227;5200;6031;3854;2803;10187;12473;13471;11278;9931;8960;10121;10407;8626;12174;12073;4189;3999;4952;5766;3508;2786;10274;12020;11690;10016;9491;8757;9885;10054;9120;15191;18546
2021-12-31;09762;Kaufbeuren, kreisfreie Stadt;715;694;839;993;667;424;1314;1423;1598;1517;1400;1295;1501;1778;1604;2293;2174;688;641;833;986;603;421;1227;1307;1423;1340;1309;1208;1594;1847;1655;2677;3130
2021-12-31;09763;Kempten (Allgäu), kreisfreie Stadt;1064;1023;1190;1485;917;671;2340;2707;2806;2325;2127;2047;2357;2345;2162;3244;3430;990;985;1122;1288;856;622;2103;2473;2317;2107;2049;1948;2345;2429;2283;3972;4924
2021-12-31;09764;Memmingen, kreisfreie Stadt;732;684;811;989;619;458;1351;1449;1628;1405;1486;1375;1715;1746;1528;2147;2072;680;669;833;935;626;423;1171;1344;1469;1353;1362;1301;1565;1708;1552;2529;3006
2021-12-31;09771;Aichach-Friedberg, Landkreis;2174;2344;2878;3288;1967;1400;3676;3617;4186;4410;4399;4220;5422;5908;4913;6728;5888;2026;2231;2748;3217;1838;1306;3306;3340;4072;4375;4357;4080;5416;5793;4937;7133;7945
2021-12-31;09772;Augsburg, Landkreis;4107;4393;5452;6149;3735;2547;6950;7094;8123;8379;8246;7960;10099;11028;9250;12916;11421;3981;4183;5053;5941;3530;2460;6129;6548;7869;8221;8109;7864;10062;10904;9275;14221;15591
2021-12-31;09773;Dillingen an der Donau, Landkreis;1556;1585;1878;2359;1467;1036;2821;2992;3302;3090;3016;3035;3892;4171;3649;5195;4079;1477;1438;1809;2202;1405;982;2457;2707;2933;2847;2948;2971;3692;4102;3689;5482;5721
2021-12-31;09774;Günzburg, Landkreis;2022;2023;2505;3087;1917;1389;3890;4154;4466;4268;4044;4046;5040;5528;4672;6595;5226;1961;1877;2314;2882;1822;1228;3267;3617;4061;3896;3854;3952;4921;5276;4772;6760;7104
2021-12-31;09775;Neu-Ulm, Landkreis;2938;2860;3400;4107;2427;1891;5326;5617;6189;5967;5795;5491;6702;6912;5985;8652;7748;2798;2670;3174;4074;2415;1656;4732;5238;5787;5874;5594;5383;6537;6933;6174;9644;10640
2021-12-31;09776;Lindau (Bodensee), Landkreis;1218;1202;1507;1833;1187;846;2298;2270;2622;2615;2421;2270;3252;3583;2964;4232;4293;1116;1156;1413;1775;1102;721;1926;2111;2531;2415;2474;2473;3375;3654;3019;4639;5817
2021-12-31;09777;Ostallgäu, Landkreis;2326;2359;2795;3296;2144;1525;4031;4166;4569;4532;4274;4249;5556;6067;5109;7682;6752;2222;2234;2663;3278;2122;1287;3503;3823;4291;4353;4216;4396;5471;6139;5122;8087;8597
2021-12-31;09778;Unterallgäu, Landkreis;2390;2315;2822;3503;2060;1505;4543;4693;4936;4726;4581;4624;5981;6377;5148;7669;6761;2361;2249;2746;3197;1993;1401;3680;3936;4450;4337;4333;4203;5584;5948;5411;8022;9291
2021-12-31;09779;Donau-Ries, Landkreis;2091;2098;2610;3165;2072;1376;4050;4181;4670;4581;4403;4423;5249;5836;5020;7045;5646;2044;1924;2444;3104;1886;1277;3491;3585;4000;3955;4105;4066;5070;5573;4819;7310;7817
2021-12-31;09780;Oberallgäu, Landkreis;2480;2382;2888;3506;2107;1508;4194;4438;4959;4683;4541;4482;6119;6786;5748;8435;8173;2372;2282;2837;3240;2017;1405;3644;4116;4671;4681;4726;4750;6406;6724;5982;9322;10598
2021-12-31;10041;Regionalverband Saarbrücken, Landkreis;4459;4484;5629;6904;4313;3043;9721;11686;11736;10384;9372;8582;11353;13232;12535;18725;14985;4256;4255;5093;6470;3840;2872;9194;10475;10597;9529;9216;8514;11654;13465;12817;21095;22799
2021-12-31;10042;Merzig-Wadern, Landkreis;1258;1348;1729;2334;1514;989;2578;2823;3151;3051;3041;3095;3970;4675;4491;6522;4520;1179;1261;1594;2163;1324;933;2254;2552;3012;3085;3041;3059;3985;4759;4469;6780;6887
2021-12-31;10043;Neunkirchen, Landkreis;1768;1785;2163;2771;1692;1195;3324;3556;4145;3925;3786;3406;4859;5832;5735;8219;6262;1619;1654;2067;2584;1552;1047;2862;3293;3820;3720;3742;3463;4934;5970;5713;8816;9568
2021-12-31;10044;Saarlouis, Landkreis;2519;2527;3397;4103;2549;1770;5023;5292;6123;5933;5442;5147;6915;8453;8246;12391;9027;2463;2549;3151;3875;2358;1540;4279;4917;5541;5551;5493;5359;7191;8830;8525;13299;13883
2021-12-31;10045;Saarpfalz-Kreis;1702;1828;2407;2983;1780;1275;3648;3861;4184;4015;3847;3612;5170;6147;6025;8832;7213;1620;1759;2199;2857;1719;1203;3341;3640;3954;3911;3899;3768;5354;6473;6229;9762;10743
2021-12-31;10046;Sankt Wendel, Landkreis;1029;997;1338;1741;1075;772;2010;2281;2494;2449;2327;2286;3280;4057;3993;5886;4383;979;985;1333;1727;1057;700;1686;2100;2382;2352;2449;2384;3311;4199;3896;6089;6143
2021-12-31;11000;Berlin, kreisfreie Stadt;58363;58275;71824;83071;45881;30784;99021;133871;168717;153685;130002;106734;122982;134047;107110;154536;148923;55091;55509;68050;78058;43501;29793;99630;134932;164118;146041;125166;104449;119345;133375;109975;183314;219299
2021-12-31;12051;Brandenburg an der Havel, kreisfreie Stadt;906;911;1298;1520;742;524;1694;1695;2621;2626;2451;1817;2401;3033;2791;4213;4392;851;991;1237;1427;766;544;1476;1323;2289;2413;2053;1619;2230;2947;3004;4878;6778
2021-12-31;12052;Cottbus, kreisfreie Stadt;1217;1286;1755;2065;1139;855;2616;2660;3667;3614;3113;2364;3242;3918;3697;5625;5351;1231;1240;1586;1954;1096;764;2308;2160;3181;3049;2762;2279;3118;4072;4087;6911;8377
2021-12-31;12053;Frankfurt (Oder), kreisfreie Stadt;599;744;970;1213;727;475;1386;1320;1839;1835;1757;1524;1770;2324;2334;3673;2992;586;662;890;1138;681;481;1468;1196;1615;1684;1572;1461;1782;2431;2558;4161;4831
2021-12-31;12054;Potsdam, kreisfreie Stadt;2911;3054;3828;4558;2526;1669;4902;5304;7474;7060;6714;5466;6010;6428;5233;7743;7563;2693;2857;3627;4266;2315;1637;5366;5376;7715;7541;6886;5454;5844;6455;5581;9408;11690
2021-12-31;12060;Barnim, Landkreis;2392;2819;3792;4781;2600;1621;3764;3094;5311;6486;6608;5616;6912;8758;8020;11369;9401;2170;2656;3621;4355;2343;1470;3138;2824;5509;6467;6493;5202;6923;8711;8071;12355;13183
2021-12-31;12061;Dahme-Spreewald, Landkreis;2398;2740;3529;4108;2246;1421;3668;3113;5222;6072;6150;5143;6832;8122;7201;10095;9029;2240;2536;3274;3984;2116;1269;3138;2886;5163;6058;5935;4798;6558;7922;7083;10845;12940
2021-12-31;12062;Elbe-Elster, Landkreis;1131;1272;1684;2143;1260;756;1682;1339;2614;3253;3131;2943;4008;4831;4763;7073;5792;1062;1162;1584;2075;1209;661;1333;1213;2395;2755;2710;2518;3758;4732;4838;7716;8921
2021-12-31;12063;Havelland, Landkreis;2101;2433;3411;4246;2353;1540;3656;2790;4649;5343;5532;4930;6670;8250;6897;9343;7795;1962;2381;3246;3923;2239;1417;3066;2467;4578;5432;5451;4903;6848;7965;6741;9998;11350
2021-12-31;12064;Märkisch-Oderland, Landkreis;2312;2921;4077;4861;2721;1658;3496;2619;5223;6744;7114;5881;7496;9554;9117;12537;9823;2237;2678;3764;4612;2383;1417;2887;2419;5440;6837;6797;5305;7177;9665;9015;13080;14098
2021-12-31;12065;Oberhavel, Landkreis;2660;3046;4315;5345;3066;2074;4466;3607;5833;7126;7338;6287;8582;10667;8961;12273;10613;2572;2969;4130;5052;2856;1850;3747;3161;5967;7107;7387;6265;8804;10300;8850;13269;15250
2021-12-31;12066;Oberspreewald-Lausitz, Landkreis;1135;1414;1829;2255;1274;811;1994;1661;2957;3508;3590;2969;4100;5084;4769;7245;6230;1113;1304;1727;2154;1199;688;1570;1340;2677;3078;2947;2644;3792;4978;4992;8219;10311
2021-12-31;12067;Oder-Spree, Landkreis;2173;2575;3262;4159;2227;1455;3314;2557;4681;5676;5810;4898;6655;8491;7952;11809;10062;2107;2390;3179;3913;2189;1321;2702;2303;4691;5614;5577;4693;6401;8463;8080;12969;14897
2021-12-31;12068;Ostprignitz-Ruppin, Landkreis;1128;1326;1748;2301;1269;814;1945;1516;2808;3256;3157;2790;3673;4778;4732;6869;5067;1021;1252;1696;2012;1122;756;1612;1441;2544;3028;2899;2477;3472;4641;4738;7284;7657
2021-12-31;12069;Potsdam-Mittelmark, Landkreis;2608;3224;4566;5890;3440;2029;4213;3078;5388;6887;7554;6817;8970;10882;9427;13102;10502;2434;3121;4325;5618;3141;1920;3592;2728;5540;7017;7617;6619;8979;10754;9225;13529;14785
2021-12-31;12070;Prignitz, Landkreis;801;911;1259;1536;868;630;1598;1290;2143;2353;2269;2023;2797;3726;3644;5289;4311;802;875;1231;1475;902;495;1185;1017;1939;2014;1936;1700;2626;3712;3700;5775;6742
2021-12-31;12071;Spree-Neiße, Landkreis;1157;1422;1966;2440;1394;822;1774;1257;2628;3392;3527;2936;4446;5694;5529;8321;6240;1105;1367;1806;2358;1290;691;1443;1169;2593;3181;3158;2783;4256;5584;5650;8922;9654
2021-12-31;12072;Teltow-Fläming, Landkreis;2310;2661;3406;4171;2373;1550;3721;3247;5356;6346;6222;5065;6872;8252;6962;9578;7914;2157;2569;3319;3992;2127;1370;3078;2805;5292;5953;5664;4818;6479;7822;6911;10202;11981
2021-12-31;12073;Uckermark, Landkreis;1251;1449;2063;2615;1496;942;2122;1621;3069;3484;3514;3027;4291;5631;5744;8472;6596;1143;1315;1912;2445;1467;852;1761;1581;2916;3216;3246;3003;4177;5658;5791;9318;10148
2021-12-31;13001;Greifswald, kreisfreie Stadt (until 2011-09-03);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;13002;Neubrandenburg, kreisfreie Stadt (until 2011-09-03;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;13003;Rostock, kreisfreie Stadt;2659;2701;3449;4019;2300;1931;7210;6994;9421;8259;6937;5166;6298;7346;6644;10440;10785;2533;2533;3332;3882;2188;2083;7517;6035;7844;6919;5984;4572;5863;7323;7234;13017;16982
2021-12-31;13004;Schwerin, kreisfreie Stadt;1270;1308;1804;2173;1211;905;2393;2295;3405;3255;3164;2518;3012;3453;3255;5564;4959;1218;1323;1692;2066;1225;940;2279;1977;3131;3196;2955;2347;2877;3767;3760;6779;8264
2021-12-31;13005;Stralsund, kreisfreie Stadt (until 2011-09-03);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;13006;Wismar, kreisfreie Stadt (until 2011-09-03);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;13051;Bad Doberan, Landkreis (until 2011-09-03);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;13052;Demmin, Landkreis (until 2011-09-03);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;13053;Güstrow, Landkreis (until 2011-09-03);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;13054;Ludwigslust, Landkreis (until 2011-09-03);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;13055;Mecklenburg-Strelitz, Landkreis (until 2011-09-03);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;13056;Müritz, Landkreis (until 2011-09-03);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;13057;Nordvorpommern, Landkreis (until 2011-09-03);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;13058;Nordwestmecklenburg, Landkreis (until 2011-09-03);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;13059;Ostvorpommern, Landkreis (until 2011-09-03);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;13060;Parchim, Landkreis (until 2011-09-03);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;13061;Rügen, Landkreis (until 2011-09-03);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;13062;Uecker-Randow, Landkreis (until 2011-09-03);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;13071;Mecklenburgische Seenplatte, Landkreis;2974;3242;4661;5890;3329;2210;5093;4030;7391;8139;8278;7044;8954;12095;12189;18113;12843;2787;3094;4285;5763;3147;1942;4218;3665;6752;7690;7631;6399;8687;12089;12456;20047;20398
2021-12-31;13072;Rostock, Landkreis;2721;3173;4390;5341;2989;1859;3521;2882;6033;7605;7615;6252;8235;10495;9977;14593;10354;2631;3053;4204;5161;2896;1558;2982;2766;6116;7227;6918;5548;7842;10256;9991;15461;15151
2021-12-31;13073;Vorpommern-Rügen, Landkreis;2341;2717;3905;5064;2773;1739;4593;3750;6272;7374;7521;6075;8162;10690;10407;15448;11856;2307;2692;3715;4846;2685;1599;3852;3330;6181;6983;6900;5661;7986;10688;10694;16997;18097
2021-12-31;13074;Nordwestmecklenburg, Landkreis;1999;2257;2911;3801;2101;1361;3344;2765;4777;5606;5567;4630;6030;7295;6786;10287;7322;1876;2028;2856;3534;1965;1221;2736;2451;4641;5284;4913;4166;5726;7080;6957;11036;11140
2021-12-31;13075;Vorpommern-Greifswald, Landkreis;2647;2984;4119;5245;3027;1973;5236;4618;7165;7706;7481;6123;8058;10234;10759;16181;11528;2427;2961;3913;4953;2793;1924;5623;4356;7032;7323;6886;5629;7671;10445;11031;17448;17952
2021-12-31;13076;Ludwigslust-Parchim, Landkreis;2625;2870;3996;4815;2765;1741;4010;3301;6355;7170;7212;6292;8094;10380;9959;14625;9610;2393;2809;3804;4699;2610;1528;3013;3044;5935;6613;6289;5485;7946;10107;9916;15195;14693
2021-12-31;14161;Chemnitz, kreisfreie Stadt (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14166;Plauen, kreisfreie Stadt (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14167;Zwickau, kreisfreie Stadt (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14171;Annaberg, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14173;Chemnitzer Land, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14177;Freiberg, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14178;Vogtlandkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14181;Mittlerer Erzgebirgskreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14182;Mittweida, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14188;Stollberg, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14191;Aue-Schwarzenberg, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14193;Zwickauer Land, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14262;Dresden, kreisfreie Stadt (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14263;Görlitz, kreisfreie Stadt (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14264;Hoyerswerda, kreisfreie Stadt (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14272;Bautzen, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14280;Meißen, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14284;Niederschlesischer Oberlausitzkreis (b.31.07.2008);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14285;Riesa-Großenhain, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14286;Löbau-Zittau, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14287;Sächsische Schweiz, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14290;Weißeritzkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14292;Kamenz, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14365;Leipzig, kreisfreie Stadt (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14374;Delitzsch, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14375;Döbeln, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14379;Leipziger Land, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14383;Muldentalkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14389;Torgau-Oschatz, Landkreis (until 2008-07-31);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;14511;Chemnitz, kreisfreie Stadt;3271;3475;4431;5260;2948;2084;6553;6978;9498;8888;8029;6338;7896;8515;7517;14220;14463;3059;3322;4151;4922;2783;1996;5732;5421;7733;7466;6889;5602;7216;8600;8149;17743;21957
2021-12-31;14521;Erzgebirgskreis;3657;4263;6014;7764;4629;2757;6095;4641;8225;10073;10839;9928;11861;13287;13150;25391;18338;3515;4147;5767;7299;4258;2508;5091;4105;7593;9303;9595;8681;10961;13354;14100;28462;29044
2021-12-31;14522;Mittelsachsen, Landkreis;3505;4042;5543;6899;3858;2494;6258;5141;8642;9734;9984;8685;11330;12907;12094;20444;17361;3338;3814;5310;6540;3627;2275;4770;4075;7479;8470;8549;7505;10532;12547;12425;22622;26530
2021-12-31;14523;Vogtlandkreis;2385;2747;3828;4853;2923;1758;4250;3481;5743;6735;6918;6453;8355;9534;9052;15364;13633;2250;2642;3555;4434;2624;1634;3439;2998;5392;6155;6045;5700;7875;9503;9458;18067;21593
2021-12-31;14524;Zwickau, Landkreis;3504;4128;5521;6758;3933;2540;6298;5225;8520;9611;9763;8767;11699;13274;12224;20893;18600;3347;3801;5223;6495;3894;2396;5200;4635;7756;8792;8664;7862;10860;13148;12728;24316;29246
2021-12-31;14612;Dresden, kreisfreie Stadt;8307;8780;11598;13159;7020;5207;18868;19437;24977;22626;19805;15403;17353;17568;14665;23670;27976;8001;8452;10889;12565;6578;5285;17405;16285;21571;20179;18367;14179;15865;17216;15378;29363;41354
2021-12-31;14625;Bautzen, Landkreis;3616;4218;5859;7152;4019;2449;5258;3976;7803;9543;10057;9028;10989;13205;12587;19714;17035;3398;4028;5536;6837;3868;2179;4183;3511;7308;8619;8863;7848;10003;13235;12921;21515;25930
2021-12-31;14626;Görlitz, Landkreis;2788;3149;4471;5707;3275;1973;4533;3595;6247;7349;7712;6897;9154;10990;10722;17671;15485;2561;3117;4256;5516;3143;1842;3999;3335;5787;6816;6674;6262;8366;10831;10993;19456;23601
2021-12-31;14627;Meißen, Landkreis;2730;3236;4706;6004;3256;2082;4290;3178;6173;7735;8222;7152;9119;10661;9647;15219;14150;2678;3277;4507;5485;3257;1914;3527;2890;5899;7164;7428;6326;8413;10435;10000;16862;21722
2021-12-31;14628;Sächsische Schweiz-Osterzgebirge, Landkreis;2951;3670;5154;6223;3448;2145;4404;3308;6376;7833;8316;7625;9230;10501;9443;15432;14466;2774;3419;4688;5888;3274;1900;3550;3043;6503;7543;7654;6674;8280;10151;9498;17156;21489
2021-12-31;14713;Leipzig, kreisfreie Stadt;9438;9386;11838;12740;6761;5266;20160;22492;30568;26551;22247;16233;18346;18493;15173;24059;26359;8874;8792;11014;12332;6422;5962;23593;22262;27641;23827;19705;14225;16325;17719;16236;29749;41078
2021-12-31;14729;Leipzig, Landkreis;3156;3805;5104;6343;3488;2142;4446;3209;6758;8357;8784;7759;10233;11932;10561;16557;13968;3081;3673;4842;5834;3322;1915;3680;3139;6899;8176;8206;6934;9621;11527;10946;18368;21449
2021-12-31;14730;Nordsachsen, Landkreis;2459;2890;3768;4623;2557;1761;3779;2859;5548;6760;6952;5870;7643;9047;8480;12703;10276;2270;2789;3611;4340;2495;1491;2831;2530;5319;6323;5952;5192;7177;8830;8624;13946;15834
