GENESIS-Tabelle: 12411-0018
Population: Administrative districts, reference date, sex,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
age groups;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Current updating of population figures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Population (number);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female
;;;under 3 years;3 to under 6 years;6 to under 10 years;10 to under 15 years;15 to under 18 years;18 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 75 years;75 years and over;under 3 years;3 to under 6 years;6 to under 10 years;10 to under 15 years;15 to under 18 years;18 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 75 years;75 years and over
2021-12-31;03404;Osnabrück, kreisfreie Stadt;2282;2210;2754;3397;2149;1628;7135;7929;6791;5154;4669;4505;5585;5691;4865;6838;6252;2313;2132;2633;3298;1915;1802;8577;7656;5944;5070;4695;4727;5683;5764;5087;7988;9916
2021-12-31;03405;Wilhelmshaven, kreisfreie Stadt;1058;1008;1225;1522;929;654;2520;2944;2785;1740;1870;1774;2693;3018;2525;4188;4403;948;991;1169;1459;910;665;2308;2304;2204;1920;1809;1844;2599;3132;2812;4827;6270
2021-12-31;03451;Ammerland, Landkreis;1777;1853;2494;3030;1899;1408;3364;3236;3563;3567;3538;3607;4994;5342;4445;7122;6467;1797;1840;2304;2895;1877;1278;2856;3008;3754;3706;3648;3796;5180;5510;4794;7918;8608
2021-12-31;03452;Aurich, Landkreis;2511;2689;3474;4544;2905;2036;5239;5339;5500;5041;5064;5573;7614;8124;7130;11948;8818;2457;2479;3267;4112;2651;1892;4780;4771;5137;4958;5230;5721;8050;8611;7751;12752;12257
2021-12-31;03453;Cloppenburg, Landkreis;3192;3058;3820;4755;3083;2303;6291;6127;6189;5696;5306;5286;6705;6916;5970;7896;5467;3050;2905;3599;4513;2937;2003;5156;5422;5534;5214;5127;5161;6423;6625;5957;8088;8206
2021-12-31;03454;Emsland, Landkreis;5243;5272;6572;8332;5346;3784;10324;10702;11551;10839;10422;10597;13151;13917;11795;17393;12770;5001;5143;6226;7843;5057;3547;8665;9210;9989;9900;9652;9789;12662;13103;11922;17843;17835
2021-12-31;03455;Friesland, Landkreis;1287;1353;1801;2213;1335;1009;2544;2457;2695;2542;2422;2534;3966;4339;3655;6046;5973;1253;1320;1645;2012;1289;905;2196;2228;2680;2585;2589;2810;4219;4624;3969;6688;7788
2021-12-31;03456;Grafschaft Bentheim, Landkreis;2183;2170;2806;3536;2220;1500;4045;4171;4385;4142;4022;4163;5504;6052;4995;7457;6033;2118;2036;2655;3317;2132;1396;3503;3733;4045;3954;3890;4200;5540;5888;4864;7853;8214
2021-12-31;03457;Leer, Landkreis;2589;2704;3308;4078;2581;1900;4931;5098;5647;5226;5048;5110;6940;7288;6064;9820;7578;2475;2496;3095;3932;2534;1765;4394;4646;5081;4808;4689;5078;6940;7310;6582;10218;10468
2021-12-31;03458;Oldenburg, Landkreis;2003;2034;2434;3157;2077;1501;3789;3454;3872;3594;3793;3845;5668;6127;4923;7132;6139;1762;1854;2441;2918;1913;1298;3128;3165;3694;3763;3841;4140;5747;5984;5075;7460;8366
2021-12-31;03459;Osnabrück, Landkreis;5805;5755;7380;9015;5683;3902;10573;10345;11324;10818;10564;10717;13944;15520;13610;18962;15670;5458;5391;6802;8469;5301;3782;8737;8987;10695;10479;10501;11046;14057;15553;13668;20027;23010
2021-12-31;03460;Vechta, Landkreis;2583;2449;3215;3979;2490;1751;5152;4996;5081;4833;4413;4508;5492;5886;4989;6519;4674;2534;2453;2916;3729;2311;1673;4433;4675;4626;4491;4436;4358;5268;5752;4750;6634;6756
2021-12-31;03461;Wesermarsch, Landkreis;1235;1277;1559;2043;1270;939;2580;2380;2647;2345;2327;2554;3637;4049;3562;5224;4598;1146;1177;1436;1830;1251;878;2106;2212;2472;2320;2263;2528;3581;4062;3446;5404;6092
2021-12-31;03462;Wittmund, Landkreis;725;758;1081;1327;813;593;1564;1462;1630;1400;1496;1613;2261;2460;2259;3775;2921;693;731;957;1255;805;575;1365;1367;1484;1493;1585;1660;2403;2509;2522;3994;3919
2021-12-31;04011;Bremen, kreisfreie Stadt;8861;8649;10437;12542;7780;5540;19224;20845;21621;18954;17381;16190;20092;21324;17301;26123;25221;8136;8254;9794;11769;6946;5139;17279;19459;19954;18668;16702;16226;19624;21120;18480;30372;37283
2021-12-31;04012;Bremerhaven, kreisfreie Stadt;1727;1826;2421;2754;1768;1116;3588;3970;3943;3712;3373;3349;3959;4202;3829;5695;5002;1759;1693;2233;2577;1617;1153;3403;3350;3386;3110;3124;3088;3776;4301;4102;6873;7394
